rhythm_first,rhythm_first_time,rhythm_second,rhythm_second_time
rhythm_wavs/rhythm_07.wav,1.49,rhythm_wavs/rhythm_07.wav,1.49
rhythm_wavs/rhythm_02.wav,1.49,rhythm_wavs/rhythm_02.wav,1.49
rhythm_wavs/rhythm_05.wav,1.49,rhythm_wavs/rhythm_10.wav,1.49
rhythm_wavs/rhythm_06.wav,1.49,rhythm_wavs/rhythm_06.wav,1.49
rhythm_wavs/rhythm_08.wav,1.49,rhythm_wavs/rhythm_07.wav,1.49
rhythm_wavs/rhythm_10.wav,1.49,rhythm_wavs/rhythm_10.wav,1.49
rhythm_wavs/rhythm_19.wav,2.16,rhythm_wavs/rhythm_12.wav,2.16
rhythm_wavs/rhythm_11.wav,2.16,rhythm_wavs/rhythm_15.wav,2.16
rhythm_wavs/rhythm_12.wav,2.16,rhythm_wavs/rhythm_22.wav,2.16
rhythm_wavs/rhythm_18.wav,2.16,rhythm_wavs/rhythm_18.wav,2.16
rhythm_wavs/rhythm_14.wav,2.16,rhythm_wavs/rhythm_20.wav,2.16
rhythm_wavs/rhythm_22.wav,2.16,rhythm_wavs/rhythm_17.wav,2.16
rhythm_wavs/rhythm_28.wav,2.59,rhythm_wavs/rhythm_28.wav,2.59
rhythm_wavs/rhythm_33.wav,2.59,rhythm_wavs/rhythm_23.wav,2.59
rhythm_wavs/rhythm_30.wav,2.59,rhythm_wavs/rhythm_25.wav,2.59
rhythm_wavs/rhythm_35.wav,2.59,rhythm_wavs/rhythm_33.wav,2.59
rhythm_wavs/rhythm_26.wav,2.59,rhythm_wavs/rhythm_34.wav,2.59
rhythm_wavs/rhythm_23.wav,2.59,rhythm_wavs/rhythm_23.wav,2.59
